,Tweets,Writer
0,"i will never forget the commitment to reconciliation and peace that i encountered in hiroshima in 2016. the memory of august 6, 1945, must never fade; it allows us to fight complacency. it fuels our moral imagination. it allows us to change. ",BarackObama
1,"we have to treat voting as the most important action we can take on behalf of democracy. so make sure you are registered to vote. request a mail-in ballot early and send it back early. then get your family and friends to do it, too. every vote counts. ",BarackObama
2,"let’s guarantee that every citizen has equal representation in our government. and end partisan gerrymandering, so that all voters have the power to choose their politicians. and if all this takes eliminating the filibuster—a jim crow relic––then that’s what we should do.",BarackObama
3,"we can do this by making sure every american is automatically registered to vote, including formerly incarcerated people. let’s also make sure to add more polling places, expand early voting, and make election day a national holiday.",BarackObama
4,"we've got to fight harder to protect the right to vote. it’s one of the most powerful tools we have––and we can start by passing the john lewis voting rights act. once we pass that, we should continue marching forward to make it even better.",BarackObama
5,"today is the 55th anniversary of the voting rights act––one of the crowning achievements of our democracy. but once the supreme court weakened it, some state legislatures unleashed a flood of laws designed specifically to make voting harder, especially in communities of color.",BarackObama
6,"i’m proud to endorse this diverse and hopeful collection of thoughtful, empathetic, and highly qualified democrats. if you’re in one of their districts or states, make sure you vote for them this fall. and if you can, vote early—by mail or in person.  ",BarackObama
7,"welcome home,  and _doug! we launched the commercial crew program to strengthen our u.s. space program and it's been great to see its success. this historic nasa-spacex mission is a symbol of what american ingenuity and inventiveness can achieve. ",BarackObama
8,this pandemic is far from over––and our medical professionals continue to put their lives on the line to keep our country going.  and i had a chance to thank dr. _a_spencer for his work during the ebola crisis and this current pandemic. ,BarackObama
9,"john believed that in all of us, there exists the capacity for great courage and a longing to do what’s right. we are so lucky to have had him show us the way. i offered some thoughts today on his life and how, like him, we can give it all we have. ",BarackObama
10,"john spent his entire life fighting for justice and equality––and now he has left behind his marching orders for all of us. 

",BarackObama
11,michelle and i have spent a lot of time together these past few months. we’ve had a lot of good talks—and this one’s up there with the best. take a listen to the very first episode of michelle’s podcast  ,BarackObama
12,"it's national vote by mail day. voting by mail is easy and safe. take a few minutes to request your vote-by-mail ballot, then get your family and friends to do the same. request your ballot early, send it back early, and fill it out carefully. get started  ",BarackObama
13, arianna’s a supporter of our campaign who’s been organizing food drives for her community during the covid crisis. my team to…,BarackObama
14,"we're 100 days away from election day and there is too much at stake to sit this one out. now's a good time to make sure you're registered to vote––and to make sure your friends and family are, too. ",BarackObama
15,"to celebrate the 30th anniversary of the americans with disabilities act, i got the chance to talk to the next generation of activists and advocates in the disability rights movement––they're continuing the work of the activists in  and i couldn't be prouder of them. ",BarackObama
16,"although we’ve seen some positive findings recently about the possibilities of developing a vaccine for covid-19, this article gives a good summary of why it may take months before any effective vaccine can be widely distributed. ",BarackObama
17,"i sat down with  to talk about the most pressing issues of our time. he's exactly the leader we need right now––with the vision, the plans, and character to move america forward.

let's get to work  ",BarackObama
18,doesn’t get much better than sitting down to talk with my friend joe. ,BarackObama
19,"ten years ago, i signed wall street reform into law. it was the most sweeping set of financial regulations since the great depression—and it’s still working today to prevent another one. now, it’s up to us to protect it and keep fighting for an economy that works for everybody. ",BarackObama
20,"not many of us get to live to see our own legacy play out in such a meaningful, remarkable way. john lewis did

",BarackObama
21,"some thoughts on the reverend c.t. vivian, a pioneer who pulled america closer to our founding ideals and a friend who i will miss greatly. ",BarackObama
22,"here’s a quick look at how our response stacks up with countries around the world

",BarackObama
23,"the latest data offers a tragic reminder that the virus doesn’t care about spin or ideology––and that the best thing we can do for our economy is to deal with our public health crisis.

",BarackObama
24,get registered and find out how you can vote by mail at ,BarackObama
25,"voting by mail shouldn't be a partisan issue––especially during a pandemic. everybody should be able to request an absentee ballot, and make their voice heard in every election. ",BarackObama
